City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Marana,US,32.4367,-111.2254,97.36,37,40,6.91,scattered clouds
79,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,88,59,5.23,broken clouds
80,College,US,64.8569,-147.8028,59.07,75,75,10.36,moderate rain
81,Jamestown,US,42.097,-79.2353,74.52,71,100,10.36,overcast clouds
82,Faanui,PF,-16.4833,-151.75,79.07,74,17,25.28,light rain
83,Beipiao,CN,41.7919,120.7792,69.08,97,100,4.43,light rain
84,Khatanga,RU,71.9667,102.5,63.25,61,100,1.28,overcast clouds
85,Mana,GF,5.6592,-53.7767,79.43,82,38,5.3,scattered clouds
86,Namatanai,PG,-3.6667,152.4333,81.91,72,69,10.78,broken clouds
87,Sapa,PH,5.1544,120.3241,80.51,79,69,2.68,broken clouds
88,Kavaratti,IN,10.5669,72.642,81.16,80,100,20.96,overcast clouds
89,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,7,8.16,clear sky
90,Eyl,SO,7.9803,49.8164,76.37,72,76,23.29,broken clouds
91,Itoman,JP,26.1247,127.6694,82.42,83,20,11.5,few clouds
92,La Ronge,CA,55.1001,-105.2842,68.2,41,38,6.17,scattered clouds
93,San Cristobal,VE,7.7669,-72.225,75.38,85,43,4.34,scattered clouds
94,Bose,IT,45.4612,8.0137,76.59,71,7,5.46,clear sky
95,Georgetown,MY,5.4112,100.3354,79.9,86,20,0.0,few clouds
96,Marawi,PH,7.9986,124.2928,69.26,93,94,2.91,overcast clouds
97,Manaure,CO,11.7751,-72.4445,88.36,53,45,17.0,scattered clouds
98,Luau,AO,-10.7073,22.2247,61.25,32,31,3.87,scattered clouds
99,Hithadhoo,MV,-0.6,73.0833,82.09,75,100,12.21,overcast clouds
100,Puerto Ayora,EC,-0.7393,-90.3518,71.55,90,82,8.99,broken clouds
101,Buala,SB,-8.145,159.5921,82.36,73,59,8.55,broken clouds
102,Brokopondo,SR,4.75,-55.1667,78.76,81,91,3.47,overcast clouds
103,Kakamigahara,JP,35.4167,136.8667,80.78,87,87,1.97,overcast clouds
104,Butaritari,KI,3.0707,172.7902,81.16,77,6,16.71,clear sky
105,Winneba,GH,5.3511,-0.6231,74.84,89,57,14.43,broken clouds
106,Severo-Yeniseyskiy,RU,60.3725,93.0408,55.29,88,100,2.82,overcast clouds
107,Port Blair,IN,11.6667,92.75,81.21,80,80,2.71,broken clouds
108,San Juan,AR,-31.5375,-68.5364,53.56,61,77,14.76,broken clouds
109,Vao,NC,-22.6667,167.4833,69.21,70,52,10.92,broken clouds
110,Bollnas,SE,61.3482,16.3946,48.34,76,68,4.38,broken clouds
111,Natal,BR,-5.795,-35.2094,75.85,94,20,4.61,light rain
112,Tynne,UA,50.6015,26.1849,58.53,91,86,3.36,overcast clouds
113,Ludza,LV,56.55,27.7167,53.06,83,3,6.55,clear sky
114,Kimbe,PG,-5.5502,150.1429,78.93,85,41,3.33,scattered clouds
115,Hilo,US,19.7297,-155.09,90.28,90,38,1.99,scattered clouds
116,Batemans Bay,AU,-35.7167,150.1833,49.1,73,5,5.3,clear sky
117,Chokurdakh,RU,70.6333,147.9167,54.5,45,91,12.59,overcast clouds
118,Coquimbo,CL,-29.9533,-71.3436,57.11,79,82,10.71,broken clouds
119,Alekseyevsk,RU,57.8406,108.3492,59.47,98,100,2.84,overcast clouds
120,Katangli,RU,51.7102,143.2326,57.47,78,94,3.65,overcast clouds
121,Verkhnevilyuysk,RU,63.4453,120.3167,71.33,74,15,4.65,few clouds
122,Beisfjord,NO,68.3751,17.5988,52.05,96,100,6.33,light rain
123,Caucaia,BR,-3.7361,-38.6531,80.04,75,0,10.36,clear sky
124,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,70,20,16.11,few clouds
125,Iqaluit,CA,63.7506,-68.5145,47.98,69,83,6.29,broken clouds
126,Abashiri,JP,44.0213,144.2697,67.95,88,34,1.05,scattered clouds
127,Komsomolskiy,UZ,40.4272,71.7189,81.32,44,30,2.3,scattered clouds
128,Elizabeth City,US,36.2946,-76.2511,86.0,78,20,6.91,few clouds
129,Sfantu Gheorghe,RO,45.8667,25.7833,71.26,86,33,3.0,scattered clouds
130,Aksu,CN,41.1231,80.2644,84.0,25,35,3.2,scattered clouds
131,Gravdal,NO,68.1214,13.5031,48.09,100,75,9.22,broken clouds
